+------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-------------------------------------------------+--------+-------------------------------------------+-------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-------------------------------------------------+--------+-------------------------------------------+-------------------------------------------------------+
| Mod name               | Registry name                                                | BlockID | Subtypes | Item ID | Item meta | Display name                                    | Exists | Ore Dict keys                             | NBT                                                   |
| BiblioCraft            | bibliocraft:bookcasecreative                                 |     508 |     true |    5073 |         3 | Jungle Creative Bookcase                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcasecreative                                 |     508 |     true |    5073 |         4 | Acacia Creative Bookcase                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcasecreative                                 |     508 |     true |    5073 |         5 | Dark Oak Creative Bookcase                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcasecreative                                 |     508 |     true |    5073 |         6 | Framed Creative Bookcase                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:case                                             |     527 |     true |    5092 |         0 | Oak Case                                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:case                                             |     527 |     true |    5092 |         1 | Spruce Case                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:case                                             |     527 |     true |    5092 |         2 | Birch Case                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:case                                             |     527 |     true |    5092 |         3 | Jungle Case                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:case                                             |     527 |     true |    5092 |         4 | Acacia Case                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:case                                             |     527 |     true |    5092 |         5 | Dark Oak Case                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:case                                             |     527 |     true |    5092 |         6 | Framed Case                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:clipboard                                        |     511 |    false |    5076 |         0 | tile.BiblioCraft:Clipboard.name                 | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:clock                                            |     526 |     true |    5091 |         0 | Oak Clock                                       | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:clock                                            |     526 |     true |    5091 |         1 | Spruce Clock                                    | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:clock                                            |     526 |     true |    5091 |         2 | Birch Clock                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:clock                                            |     526 |     true |    5091 |         3 | Jungle Clock                                    | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:clock                                            |     526 |     true |    5091 |         4 | Acacia Clock                                    | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:clock                                            |     526 |     true |    5091 |         5 | Dark Oak Clock                                  | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:clock                                            |     526 |     true |    5091 |         6 | Framed Clock                                    | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:cookiejar                                        |     541 |    false |    5106 |         0 | Cookie Jar                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:desk                                             |     523 |     true |    5088 |         0 | Oak Desk                                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:desk                                             |     523 |     true |    5088 |         1 | Spruce Desk                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:desk                                             |     523 |     true |    5088 |         2 | Birch Desk                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:desk                                             |     523 |     true |    5088 |         3 | Jungle Desk                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:desk                                             |     523 |     true |    5088 |         4 | Acacia Desk                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:desk                                             |     523 |     true |    5088 |         5 | Dark Oak Desk                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:desk                                             |     523 |     true |    5088 |         6 | Framed Desk                                     | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:dinnerplate                                      |     542 |    false |    5107 |         0 | Dinner Plate                                    | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:discrack                                         |     543 |    false |    5108 |         0 | Disc Rack                                       | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancysign                                        |     518 |     true |    5083 |         0 | Oak Fancy Sign                                  | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancysign                                        |     518 |     true |    5083 |         1 | Spruce Fancy Sign                               | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancysign                                        |     518 |     true |    5083 |         2 | Birch Fancy Sign                                | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancysign                                        |     518 |     true |    5083 |         3 | Jungle Fancy Sign                               | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancysign                                        |     518 |     true |    5083 |         4 | Acacia Fancy Sign                               | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancysign                                        |     518 |     true |    5083 |         5 | Dark Oak Fancy Sign                             | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancysign                                        |     518 |     true |    5083 |         6 | Framed Fancy Sign                               | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancyworkbench                                   |     519 |     true |    5084 |         0 | Oak Fancy Workbench                             | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancyworkbench                                   |     519 |     true |    5084 |         1 | Spruce Fancy Workbench                          | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancyworkbench                                   |     519 |     true |    5084 |         2 | Birch Fancy Workbench                           | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancyworkbench                                   |     519 |     true |    5084 |         3 | Jungle Fancy Workbench                          | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancyworkbench                                   |     519 |     true |    5084 |         4 | Acacia Fancy Workbench                          | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancyworkbench                                   |     519 |     true |    5084 |         5 | Dark Oak Workbench                              | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:fancyworkbench                                   |     519 |     true |    5084 |         6 | Framed Fancy Workbench                          | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:framedchest                                      |     517 |     true |    5082 |         0 | Oak Framed Chest                                | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:framedchest                                      |     517 |     true |    5082 |         1 | Spruce Framed Chest                             | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:framedchest                                      |     517 |     true |    5082 |         2 | Birch Framed Chest                              | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:framedchest                                      |     517 |     true |    5082 |         3 | Jungle Framed Chest                             | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:framedchest                                      |     517 |     true |    5082 |         4 | Acacia Framed Chest                             | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:framedchest                                      |     517 |     true |    5082 |         5 | Dark Oak Framed Chest                           | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:framedchest                                      |     517 |     true |    5082 |         6 | Framed Framed Chest                             | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:furniturepaneler                                 |     516 |     true |    5081 |         0 | Oak Furniture Paneler                           | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:furniturepaneler                                 |     516 |     true |    5081 |         1 | Spruce Furniture Paneler                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:furniturepaneler                                 |     516 |     true |    5081 |         2 | Birch Furniture Paneler                         | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:furniturepaneler                                 |     516 |     true |    5081 |         3 | Jungle Furniture Paneler                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:furniturepaneler                                 |     516 |     true |    5081 |         4 | Acacia Furniture Paneler                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:furniturepaneler                                 |     516 |     true |    5081 |         5 | Dark Oak Furniture Paneler                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:furniturepaneler                                 |     516 |     true |    5081 |         6 | Framed Furniture Paneler                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:label                                            |     522 |     true |    5087 |         0 | Oak Wood Label                                  | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:label                                            |     522 |     true |    5087 |         1 | Spruce Wood Label                               | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:label                                            |     522 |     true |    5087 |         2 | Birch Wood Label                                | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:label                                            |     522 |     true |    5087 |         3 | Jungle Wood Label                               | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:label                                            |     522 |     true |    5087 |         4 | Acacia Label                                    | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:label                                            |     522 |     true |    5087 |         5 | Dark Oak Label                                  | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:label                                            |     522 |     true |    5087 |         6 | Framed Label                                    | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         0 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         1 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         2 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         3 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         4 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         5 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         6 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         7 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         8 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |         9 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |        10 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |        11 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |        12 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |        13 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |        14 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampgold                                         |     514 |     true |    5079 |        15 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         0 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         1 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         2 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         3 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         4 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         5 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         6 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         7 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         8 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |         9 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |        10 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |        11 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |        12 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |        13 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |        14 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lampiron                                         |     515 |     true |    5080 |        15 | Fancy Lamp                                      | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         0 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         1 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         2 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         3 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         4 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         5 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         6 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         7 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         8 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |         9 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |        10 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |        11 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |        12 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |        13 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |        14 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterngold                                      |     512 |     true |    5077 |        15 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         0 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         1 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         2 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         3 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         4 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         5 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         6 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         7 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         8 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |         9 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |        10 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |        11 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |        12 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |        13 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |        14 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:lanterniron                                      |     513 |     true |    5078 |        15 | Fancy Lantern                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:mapframe                                         |     528 |     true |    5093 |         0 | Oak Map Frame                                   | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:mapframe                                         |     528 |     true |    5093 |         1 | Spruce Map Frame                                | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:mapframe                                         |     528 |     true |    5093 |         2 | Birch Map Frame                                 | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:mapframe                                         |     528 |     true |    5093 |         3 | Jungle Map Frame                                | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:mapframe                                         |     528 |     true |    5093 |         4 | Acacia Map Frame                                | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:mapframe                                         |     528 |     true |    5093 |         5 | Dark Oak Map Frame                              | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:mapframe                                         |     528 |     true |    5093 |         6 | Framed Map Frame                                | true   |                                           |                                                       |
