+------------------------+--------------------------------------------------------------+----------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                 |
| of the Block class in question. The actual final values may be different                                       |
| for different states of the block, or they may depend on a TileEntity etc.                                     |
+------------------------+--------------------------------------------------------------+----------+-------------+
| Mod name               | Registry name                                                | Hardness |  Resistance |
| Botania                | botania:bifrostpermpane                                      |     0.30 |        1.50 |
| Botania                | botania:biomestonea                                          |     1.50 |       30.00 |
| Botania                | botania:biomestonea0slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea0slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea0stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea0wall                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea10slab                                    |     1.50 |       30.00 |
| Botania                | botania:biomestonea10slabfull                                |     1.50 |       30.00 |
| Botania                | botania:biomestonea10stairs                                  |     1.50 |       30.00 |
| Botania                | botania:biomestonea11slab                                    |     1.50 |       30.00 |
| Botania                | botania:biomestonea11slabfull                                |     1.50 |       30.00 |
| Botania                | botania:biomestonea11stairs                                  |     1.50 |       30.00 |
| Botania                | botania:biomestonea12slab                                    |     1.50 |       30.00 |
| Botania                | botania:biomestonea12slabfull                                |     1.50 |       30.00 |
| Botania                | botania:biomestonea12stairs                                  |     1.50 |       30.00 |
| Botania                | botania:biomestonea13slab                                    |     1.50 |       30.00 |
| Botania                | botania:biomestonea13slabfull                                |     1.50 |       30.00 |
| Botania                | botania:biomestonea13stairs                                  |     1.50 |       30.00 |
| Botania                | botania:biomestonea14slab                                    |     1.50 |       30.00 |
| Botania                | botania:biomestonea14slabfull                                |     1.50 |       30.00 |
| Botania                | botania:biomestonea14stairs                                  |     1.50 |       30.00 |
| Botania                | botania:biomestonea15slab                                    |     1.50 |       30.00 |
| Botania                | botania:biomestonea15slabfull                                |     1.50 |       30.00 |
| Botania                | botania:biomestonea15stairs                                  |     1.50 |       30.00 |
| Botania                | botania:biomestonea1slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea1slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea1stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea2slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea2slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea2stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea3slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea3slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea3stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea4slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea4slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea4stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea5slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea5slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea5stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea6slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea6slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea6stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea7slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea7slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea7stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea8slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea8slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea8stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestonea9slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestonea9slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestonea9stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestoneb                                          |     1.50 |       30.00 |
| Botania                | botania:biomestoneb0slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestoneb0slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestoneb0stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestoneb1slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestoneb1slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestoneb1stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestoneb2slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestoneb2slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestoneb2stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestoneb3slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestoneb3slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestoneb3stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestoneb4slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestoneb4slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestoneb4stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestoneb5slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestoneb5slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestoneb5stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestoneb6slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestoneb6slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestoneb6stairs                                   |     1.50 |       30.00 |
| Botania                | botania:biomestoneb7slab                                     |     1.50 |       30.00 |
| Botania                | botania:biomestoneb7slabfull                                 |     1.50 |       30.00 |
| Botania                | botania:biomestoneb7stairs                                   |     1.50 |       30.00 |
| Botania                | botania:blazeblock                                           |     3.00 |       30.00 |
| Botania                | botania:brewery                                              |     2.00 |       30.00 |
| Botania                | botania:buriedpetals                                         |     0.00 |        0.00 |
| Botania                | botania:cacophoniumblock                                     |     0.80 |        4.00 |
| Botania                | botania:cellblock                                            |     0.00 |        0.00 |
| Botania                | botania:cocoon                                               |     3.00 |      150.00 |
| Botania                | botania:conjurationcatalyst                                  |     2.00 |       30.00 |
| Botania                | botania:corporeacrystalcube                                  |     5.50 |       27.50 |
| Botania                | botania:corporeafunnel                                       |     5.50 |       27.50 |
| Botania                | botania:corporeaindex                                        |     5.50 |       27.50 |
| Botania                | botania:corporeainterceptor                                  |     5.50 |       27.50 |
| Botania                | botania:corporearetainer                                     |     5.50 |       27.50 |
| Botania                | botania:custombrick                                          |     2.00 |       15.00 |
| Botania                | botania:distributor                                          |     2.00 |       30.00 |
| Botania                | botania:doubleflower1                                        |     0.00 |        0.00 |
| Botania                | botania:doubleflower2                                        |     0.00 |        0.00 |
| Botania                | botania:dreamwood                                            |     2.00 |       10.00 |
| Botania                | botania:dreamwood0slab                                       |     2.00 |       10.00 |
| Botania                | botania:dreamwood0slabfull                                   |     2.00 |       10.00 |
| Botania                | botania:dreamwood0stairs                                     |     2.00 |       10.00 |
| Botania                | botania:dreamwood0wall                                       |     2.00 |       10.00 |
| Botania                | botania:dreamwood1slab                                       |     2.00 |       10.00 |
| Botania                | botania:dreamwood1slabfull                                   |     2.00 |       10.00 |
| Botania                | botania:dreamwood1stairs                                     |     2.00 |       10.00 |
| Botania                | botania:elfglass                                             |     0.30 |        1.50 |
| Botania                | botania:elfglasspane                                         |     0.30 |        1.50 |
| Botania                | botania:enchantedsoil                                        |     0.60 |        3.00 |
| Botania                | botania:enchanter                                            |     3.00 |       15.00 |
| Botania                | botania:endereyeblock                                        |     3.00 |       30.00 |
| Botania                | botania:fakeair                                              |     0.00 |        0.00 |
| Botania                | botania:felpumpkin                                           |     1.00 |        5.00 |
| Botania                | botania:floatingspecialflower                                |     0.50 |        2.50 |
| Botania                | botania:flower                                               |     0.00 |        0.00 |
| Botania                | botania:forestdrum                                           |     2.00 |       10.00 |
| Botania                | botania:foresteye                                            |     5.00 |       30.00 |
| Botania                | botania:gaiaheadblock                                        |     1.00 |        5.00 |
| Botania                | botania:ghostrail                                            |     0.00 |        0.00 |
| Botania                | botania:hourglass                                            |     2.00 |       10.00 |
| Botania                | botania:incenseplate                                         |     2.00 |       10.00 |
| Botania                | botania:lightlauncher                                        |     2.00 |       10.00 |
| Botania                | botania:lightrelay                                           |     0.00 |        0.00 |
| Botania                | botania:livingrock                                           |     2.00 |       30.00 |
| Botania                | botania:livingrock0slab                                      |     2.00 |       30.00 |
| Botania                | botania:livingrock0slabfull                                  |     2.00 |       30.00 |
| Botania                | botania:livingrock0stairs                                    |     2.00 |       30.00 |
| Botania                | botania:livingrock0wall                                      |     2.00 |       30.00 |
| Botania                | botania:livingrock1slab                                      |     2.00 |       30.00 |
| Botania                | botania:livingrock1slabfull                                  |     2.00 |       30.00 |
| Botania                | botania:livingrock1stairs                                    |     2.00 |       30.00 |
| Botania                | botania:livingwood                                           |     2.00 |       10.00 |
| Botania                | botania:livingwood0slab                                      |     2.00 |       10.00 |
| Botania                | botania:livingwood0slabfull                                  |     2.00 |       10.00 |
| Botania                | botania:livingwood0stairs                                    |     2.00 |       10.00 |
| Botania                | botania:livingwood0wall                                      |     2.00 |       10.00 |
| Botania                | botania:livingwood1slab                                      |     2.00 |       10.00 |
| Botania                | botania:livingwood1slabfull                                  |     2.00 |       10.00 |
| Botania                | botania:livingwood1stairs                                    |     2.00 |       10.00 |
| Botania                | botania:manabomb                                             |    12.00 |       60.00 |
| Botania                | botania:manadetector                                         |     2.00 |       30.00 |
| Botania                | botania:manaflame                                            |     0.00 |        0.00 |
| Botania                | botania:managlass                                            |     0.30 |        1.50 |
| Botania                | botania:managlasspane                                        |     0.30 |        1.50 |
| Botania                | botania:manavoid                                             |     2.00 |     6000.00 |
| Botania                | botania:miniisland                                           |     0.50 |        2.50 |
| Botania                | botania:mushroom                                             |     0.00 |        0.00 |
| Botania                | botania:opencrate                                            |     2.00 |       10.00 |
| Botania                | botania:pavement                                             |     2.00 |       30.00 |
| Botania                | botania:pavement0slab                                        |     2.00 |       30.00 |
| Botania                | botania:pavement0slabfull                                    |     2.00 |       30.00 |
| Botania                | botania:pavement0stairs                                      |     2.00 |       30.00 |
| Botania                | botania:pavement1slab                                        |     2.00 |       30.00 |
| Botania                | botania:pavement1slabfull                                    |     2.00 |       30.00 |
| Botania                | botania:pavement1stairs                                      |     2.00 |       30.00 |
| Botania                | botania:pavement2slab                                        |     2.00 |       30.00 |
| Botania                | botania:pavement2slabfull                                    |     2.00 |       30.00 |
| Botania                | botania:pavement2stairs                                      |     2.00 |       30.00 |
| Botania                | botania:pavement3slab                                        |     2.00 |       30.00 |
| Botania                | botania:pavement3slabfull                                    |     2.00 |       30.00 |
| Botania                | botania:pavement3stairs                                      |     2.00 |       30.00 |
| Botania                | botania:pavement4slab                                        |     2.00 |       30.00 |
| Botania                | botania:pavement4slabfull                                    |     2.00 |       30.00 |
| Botania                | botania:pavement4stairs                                      |     2.00 |       30.00 |
| Botania                | botania:pavement5slab                                        |     2.00 |       30.00 |
| Botania                | botania:pavement5slabfull                                    |     2.00 |       30.00 |
| Botania                | botania:pavement5stairs                                      |     2.00 |       30.00 |
| Botania                | botania:petalblock                                           |     0.40 |        2.00 |
| Botania                | botania:pistonrelay                                          |     2.00 |       30.00 |
| Botania                | botania:platform                                             |     2.00 |       15.00 |
| Botania                | botania:pool                                                 |     2.00 |       30.00 |
| Botania                | botania:prism                                                |     0.30 |        1.50 |
| Botania                | botania:pump                                                 |     2.00 |       30.00 |
| Botania                | botania:pylon                                                |     5.50 |       27.50 |
| Botania                | botania:quartzslabblazefull                                  |     0.80 |       30.00 |
| Botania                | botania:quartzslabblazehalf                                  |     0.80 |       30.00 |
| Botania                | botania:quartzslabdarkfull                                   |     0.80 |       30.00 |
| Botania                | botania:quartzslabdarkhalf                                   |     0.80 |       30.00 |
| Botania                | botania:quartzslabelffull                                    |     0.80 |       30.00 |
| Botania                | botania:quartzslabelfhalf                                    |     0.80 |       30.00 |
| Botania                | botania:quartzslablavenderfull                               |     0.80 |       30.00 |
| Botania                | botania:quartzslablavenderhalf                               |     0.80 |       30.00 |
| Botania                | botania:quartzslabmanafull                                   |     0.80 |       30.00 |
| Botania                | botania:quartzslabmanahalf                                   |     0.80 |       30.00 |
| Botania                | botania:quartzslabredfull                                    |     0.80 |       30.00 |
| Botania                | botania:quartzslabredhalf                                    |     0.80 |       30.00 |
| Botania                | botania:quartzslabsunnyfull                                  |     0.80 |       30.00 |
| Botania                | botania:quartzslabsunnyhalf                                  |     0.80 |       30.00 |
| Botania                | botania:quartzstairsblaze                                    |     0.80 |       30.00 |
| Botania                | botania:quartzstairsdark                                     |     0.80 |       30.00 |
| Botania                | botania:quartzstairself                                      |     0.80 |       30.00 |
| Botania                | botania:quartzstairslavender                                 |     0.80 |       30.00 |
| Botania                | botania:quartzstairsmana                                     |     0.80 |       30.00 |
| Botania                | botania:quartzstairsred                                      |     0.80 |       30.00 |
| Botania                | botania:quartzstairssunny                                    |     0.80 |       30.00 |
| Botania                | botania:quartztypeblaze                                      |     0.80 |       30.00 |
| Botania                | botania:quartztypedark                                       |     0.80 |       30.00 |
| Botania                | botania:quartztypeelf                                        |     0.80 |       30.00 |
| Botania                | botania:quartztypelavender                                   |     0.80 |       30.00 |
| Botania                | botania:quartztypemana                                       |     0.80 |       30.00 |
| Botania                | botania:quartztypered                                        |     0.80 |       30.00 |
| Botania                | botania:quartztypesunny                                      |     0.80 |       30.00 |
| Botania                | botania:redstringcomparator                                  |     2.00 |       30.00 |
| Botania                | botania:redstringcontainer                                   |     2.00 |       30.00 |
| Botania                | botania:redstringdispenser                                   |     2.00 |       30.00 |
| Botania                | botania:redstringfertilizer                                  |     2.00 |       30.00 |
| Botania                | botania:redstringinterceptor                                 |     2.00 |       30.00 |
| Botania                | botania:redstringrelay                                       |     2.00 |       30.00 |
| Botania                | botania:rfgenerator                                          |     2.00 |       30.00 |
| Botania                | botania:root                                                 |     1.20 |        6.00 |
| Botania                | botania:runealtar                                            |     2.00 |       30.00 |
| Botania                | botania:shimmerrock                                          |     2.00 |       30.00 |
| Botania                | botania:shimmerrock0slab                                     |     2.00 |       30.00 |
| Botania                | botania:shimmerrock0slabfull                                 |     2.00 |       30.00 |
| Botania                | botania:shimmerrock0stairs                                   |     2.00 |       30.00 |
| Botania                | botania:shimmerwoodplanks                                    |     2.00 |       10.00 |
| Botania                | botania:shimmerwoodplanks0slab                               |     2.00 |       30.00 |
| Botania                | botania:shimmerwoodplanks0slabfull                           |     2.00 |       30.00 |
| Botania                | botania:shimmerwoodplanks0stairs                             |     2.00 |       10.00 |
| Botania                | botania:shinyflower                                          |     0.00 |        0.00 |
| Botania                | botania:solidvine                                            |     0.50 |        2.50 |
| Botania                | botania:sparkchanger                                         |     2.00 |       30.00 |
| Botania                | botania:spawnerclaw                                          |     3.00 |       15.00 |
| Botania                | botania:specialflower                                        |     0.10 |        0.50 |
| Botania                | botania:spreader                                             |     2.00 |       10.00 |
| Botania                | botania:starfield                                            |     5.00 |     6000.00 |
| Botania                | botania:storage                                              |     3.00 |       30.00 |
| Botania                | botania:terraplate                                           |     3.00 |       30.00 |
| Botania                | botania:teruterubozu                                         |     0.00 |        0.00 |
| Botania                | botania:tinyplanetblock                                      |    20.00 |      300.00 |
| Botania                | botania:tinypotato                                           |     0.25 |        1.25 |
| Botania                | botania:turntable                                            |     2.00 |       10.00 |
| Chisel                 | chisel:andesite                                              |     1.50 |       90.00 |
| Chisel                 | chisel:andesite1                                             |     1.50 |       90.00 |
| Chisel                 | chisel:andesite2                                             |     1.50 |       90.00 |
| Chisel                 | chisel:antiblock                                             |     1.00 |        5.00 |
| Chisel                 | chisel:auto_chisel                                           |     2.50 |       12.50 |
| Chisel                 | chisel:basalt                                                |     1.50 |       30.00 |
| Chisel                 | chisel:basalt1                                               |     1.50 |       30.00 |
| Chisel                 | chisel:basalt2                                               |     1.50 |       30.00 |
| Chisel                 | chisel:block_charcoal                                        |     5.00 |       30.00 |
| Chisel                 | chisel:block_charcoal1                                       |     5.00 |       30.00 |
| Chisel                 | chisel:block_charcoal2                                       |     5.00 |       30.00 |
| Chisel                 | chisel:block_coal                                            |     5.00 |       30.00 |
| Chisel                 | chisel:block_coal1                                           |     5.00 |       30.00 |
| Chisel                 | chisel:block_coal2                                           |     5.00 |       30.00 |
| Chisel                 | chisel:block_coal_coke                                       |     5.00 |       30.00 |
| Chisel                 | chisel:block_coal_coke1                                      |     5.00 |       30.00 |
| Chisel                 | chisel:block_coal_coke2                                      |     5.00 |       30.00 |
| Chisel                 | chisel:blockaluminum                                         |     1.00 |        5.00 |
| Chisel                 | chisel:blockbronze                                           |     5.00 |       25.00 |
| Chisel                 | chisel:blockcobalt                                           |     5.00 |       25.00 |
| Chisel                 | chisel:blockcopper                                           |     5.00 |       25.00 |
| Chisel                 | chisel:blockelectrum                                         |     5.00 |       25.00 |
| Chisel                 | chisel:blockgold                                             |     3.00 |       15.00 |
| Chisel                 | chisel:blockinvar                                            |     5.00 |       25.00 |
| Chisel                 | chisel:blockiron                                             |     5.00 |       25.00 |
| Chisel                 | chisel:blocklead                                             |     5.00 |       25.00 |
| Chisel                 | chisel:blocknickel                                           |     5.00 |       25.00 |
| Chisel                 | chisel:blockplatinum                                         |     5.00 |       25.00 |
| Chisel                 | chisel:blocksilver                                           |     1.00 |        5.00 |
| Chisel                 | chisel:blocksteel                                            |     1.00 |        5.00 |
| Chisel                 | chisel:blocktin                                              |     1.00 |        5.00 |
| Chisel                 | chisel:blockuranium                                          |     1.00 |        5.00 |
| Chisel                 | chisel:bookshelf_acacia                                      |     1.50 |        7.50 |
| Chisel                 | chisel:bookshelf_birch                                       |     1.50 |        7.50 |
| Chisel                 | chisel:bookshelf_darkoak                                     |     1.50 |        7.50 |
| Chisel                 | chisel:bookshelf_jungle                                      |     1.50 |        7.50 |
| Chisel                 | chisel:bookshelf_oak                                         |     1.50 |        7.50 |
| Chisel                 | chisel:bookshelf_spruce                                      |     1.50 |        7.50 |
| Chisel                 | chisel:bricks                                                |     2.00 |       30.00 |
| Chisel                 | chisel:bricks1                                               |     2.00 |       30.00 |
| Chisel                 | chisel:bricks2                                               |     2.00 |       30.00 |
| Chisel                 | chisel:brownstone                                            |     1.00 |        5.00 |
| Chisel                 | chisel:carpet_black                                          |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_blue                                           |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_brown                                          |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_cyan                                           |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_gray                                           |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_green                                          |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_lightblue                                      |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_lightgray                                      |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_lime                                           |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_magenta                                        |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_orange                                         |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_pink                                           |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_purple                                         |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_red                                            |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_white                                          |     0.10 |        5.00 |
| Chisel                 | chisel:carpet_yellow                                         |     0.10 |        5.00 |
| Chisel                 | chisel:cloud                                                 |     0.30 |        5.00 |
| Chisel                 | chisel:cobblestone                                           |     2.00 |       30.00 |
| Chisel                 | chisel:cobblestone1                                          |     2.00 |       30.00 |
| Chisel                 | chisel:cobblestone2                                          |     2.00 |       30.00 |
| Chisel                 | chisel:cobblestonemossy                                      |     2.00 |       30.00 |
| Chisel                 | chisel:cobblestonemossy1                                     |     2.00 |       30.00 |
| Chisel                 | chisel:cobblestonemossy2                                     |     2.00 |       30.00 |
| Chisel                 | chisel:concrete_black                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_black1                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_black2                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_blue                                         |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_blue1                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_blue2                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_brown                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_brown1                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_brown2                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_cyan                                         |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_cyan1                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_cyan2                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_gray                                         |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_gray1                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_gray2                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_green                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_green1                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_green2                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lightblue                                    |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lightblue1                                   |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lightblue2                                   |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lightgray                                    |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lightgray1                                   |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lightgray2                                   |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lime                                         |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lime1                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_lime2                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_magenta                                      |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_magenta1                                     |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_magenta2                                     |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_orange                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_orange1                                      |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_orange2                                      |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_pink                                         |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_pink1                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_pink2                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_purple                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_purple1                                      |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_purple2                                      |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_red                                          |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_red1                                         |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_red2                                         |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_white                                        |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_white1                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_white2                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_yellow                                       |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_yellow1                                      |     1.50 |        7.50 |
| Chisel                 | chisel:concrete_yellow2                                      |     1.50 |        7.50 |
| Chisel                 | chisel:diamond                                               |     5.00 |       25.00 |
| Chisel                 | chisel:diorite                                               |     1.50 |       90.00 |
| Chisel                 | chisel:diorite1                                              |     1.50 |       90.00 |
| Chisel                 | chisel:diorite2                                              |     1.50 |       90.00 |
| Chisel                 | chisel:dirt                                                  |     0.50 |        5.00 |
| Chisel                 | chisel:emerald                                               |     5.00 |       25.00 |
| Chisel                 | chisel:endstone                                              |     3.00 |       45.00 |
| Chisel                 | chisel:endstone1                                             |     3.00 |       45.00 |
| Chisel                 | chisel:endstone2                                             |     3.00 |       45.00 |
| Chisel                 | chisel:energizedvoidstone                                    |     1.00 |        5.00 |
| Chisel                 | chisel:factory                                               |     1.00 |        5.00 |
| Chisel                 | chisel:factory1                                              |     1.00 |        5.00 |
