+-----------------------+--------------------------------------+------------------------------------------+----+-------------------------+--------+---------------+
| Mod name              | Registry name                        | Potion Name                              | ID | Liquid color            | Is bad | Is beneficial |
| Rustic                | rustic:magic_resistance              | effect.magic_resistance                  | 32 | 0x00A064C8 (  10511560) |  false |          true |
| Rustic                | rustic:shame                         | effect.shame                             | 30 | 0x00FA6432 (  16409650) |   true |         false |
| Rustic                | rustic:tipsy                         | effect.tipsy                             | 34 | 0x00788C82 (   7900290) |   true |         false |
| Rustic                | rustic:wither_ward                   | effect.wither_ward                       | 33 | 0x00B4B4C8 (  11842760) |  false |          true |
| Thaumcraft            | thaumcraft:blurredvision             | potion.blurred                           | 41 | 0x00808080 (   8421504) |   true |         false |
| Thaumcraft            | thaumcraft:deathgaze                 | potion.deathgaze                         | 40 | 0x00664433 (   6702131) |   true |         false |
| Thaumcraft            | thaumcraft:fluxtaint                 | potion.flux_taint                        | 35 | 0x00663377 (   6697847) |   true |         false |
| Thaumcraft            | thaumcraft:infectiousvisexhaust      | potion.infvisexhaust                     | 37 | 0x00665577 (   6706551) |   true |         false |
| Thaumcraft            | thaumcraft:sunscorned                | potion.sunscorned                        | 42 | 0x00F8D86A (  16308330) |   true |         false |
| Thaumcraft            | thaumcraft:thaumarhia                | potion.thaumarhia                        | 43 | 0x00664477 (   6702199) |   true |         false |
| Thaumcraft            | thaumcraft:unnaturalhunger           | potion.unhunger                          | 38 | 0x00446633 (   4482611) |   true |         false |
| Thaumcraft            | thaumcraft:visexhaust                | potion.vis_exhaust                       | 36 | 0x00664477 (   6702199) |   true |         false |
| Thaumcraft            | thaumcraft:warpward                  | potion.warpward                          | 39 | 0x00E0F2F7 (  14742263) |  false |         false |
| Totemic               | totemic:bat                          | totemic.potion.bat                       | 57 | 0x00F2F2F0 (  15921904) |  false |         false |
| Totemic               | totemic:spider                       | totemic.potion.spider                    | 58 | 0x00524354 (   5391188) |  false |         false |
+-----------------------+--------------------------------------+------------------------------------------+----+-------------------------+--------+---------------+
| Mod name              | Registry name                        | Potion Name                              | ID | Liquid color            | Is bad | Is beneficial |
+-----------------------+--------------------------------------+------------------------------------------+----+-------------------------+--------+---------------+
