+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------+----------+
| Class                                                                                                          | Registry name                                        | Ticking? |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntitySampleDrill                                      | immersiveengineering:sampledrill                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntitySheetmetalTank                                   | immersiveengineering:sheetmetaltank                  |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntitySilo                                             | immersiveengineering:silo                            |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntitySqueezer                                         | immersiveengineering:squeezer                        |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityStructuralArm                                    | immersiveengineering:structuralarm                   |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTeslaCoil                                        | immersiveengineering:teslacoil                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityThermoelectricGen                                | immersiveengineering:thermoelectricgen               |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityToolbox                                          | immersiveengineering:toolbox                         |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTransformer                                      | immersiveengineering:transformer                     |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTransformerHV                                    | immersiveengineering:transformerhv                   |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurret                                           | immersiveengineering:turret                          |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurretChem                                       | immersiveengineering:turretchem                      |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurretGun                                        | immersiveengineering:turretgun                       |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityAlloySmelter                                     | immersiveengineering:alloysmelter                    |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityBlastFurnace                                     | immersiveengineering:blastfurnace                    |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityBlastFurnaceAdvanced                             | immersiveengineering:blastfurnaceadvanced            |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityCokeOven                                         | immersiveengineering:cokeoven                        |      yes |
| blusunrize.immersiveengineering.common.blocks.stone.TileEntityCoresample                                       | immersiveengineering:coresample                      |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityFluidSorter                                     | immersiveengineering:fluidsorter                     |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityModWorkbench                                    | immersiveengineering:modworkbench                    |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntitySorter                                          | immersiveengineering:sorter                          |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityTurntable                                       | immersiveengineering:turntable                       |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWallmount                                       | immersiveengineering:wallmount                       |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWatermill                                       | immersiveengineering:watermill                       |      yes |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWindmill                                        | immersiveengineering:windmill                        |      yes |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenBarrel                                    | immersiveengineering:woodenbarrel                    |      yes |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenCrate                                     | immersiveengineering:woodencrate                     |        - |
| blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenPost                                      | immersiveengineering:woodenpost                      |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityController                                          | storagedrawers:controller                            |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersComp                                         | storagedrawers:compdrawers                           |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Legacy                              | storagedrawers:basicdrawers                          |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot1                               | storagedrawers:basicdrawers.1                        |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot2                               | storagedrawers:basicdrawers.2                        |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot4                               | storagedrawers:basicdrawers.4                        |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityFramingTable                                        | storagedrawers:framingtable                          |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityKeyButton                                           | storagedrawers:keybutton                             |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntitySlave                                               | storagedrawers:controllerslave                       |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityTrim                                                | storagedrawers:trim                                  |        - |
| com.pam.harvestcraft.tileentities.TileEntityApiary                                                             | minecraft:pamapiary                                  |      yes |
| com.pam.harvestcraft.tileentities.TileEntityGrinder                                                            | minecraft:pamgrinder                                 |      yes |
| com.pam.harvestcraft.tileentities.TileEntityGroundTrap                                                         | minecraft:pamgroundtrap                              |      yes |
| com.pam.harvestcraft.tileentities.TileEntityMarket                                                             | minecraft:pammarket                                  |        - |
| com.pam.harvestcraft.tileentities.TileEntityPresser                                                            | minecraft:pampresser                                 |      yes |
| com.pam.harvestcraft.tileentities.TileEntityShippingBin                                                        | minecraft:pamshippingbin                             |        - |
| com.pam.harvestcraft.tileentities.TileEntityWaterFilter                                                        | minecraft:pamwaterfilter                             |      yes |
| com.pam.harvestcraft.tileentities.TileEntityWaterTrap                                                          | minecraft:pamwatertrap                               |      yes |
| com.rwtema.extrautils2.backend.XUBlockTESR$XUTESRTile                                                          | xu2:xutesrtile                                       |        - |
| com.rwtema.extrautils2.machine.TileMachineProvider                                                             | xu2:tilemachineprovider                              |      yes |
| com.rwtema.extrautils2.machine.TileMachineReceiver                                                             | xu2:tilemachinereceiver                              |      yes |
| com.rwtema.extrautils2.power.energy.TilePowerBattery                                                           | xu2:tilepowerbattery                                 |        - |
| com.rwtema.extrautils2.power.energy.TilePowerTransmitter                                                       | xu2:tilepowertransmitter                             |        - |
| com.rwtema.extrautils2.quarry.TileQuarry                                                                       | xu2:tilequarry                                       |      yes |
| com.rwtema.extrautils2.quarry.TileQuarryProxy                                                                  | xu2:tilequarryproxy                                  |        - |
| com.rwtema.extrautils2.tile.TileAnalogCrafter                                                                  | xu2:tileanalogcrafter                                |      yes |
| com.rwtema.extrautils2.tile.TileChunkLoader                                                                    | xu2:tilechunkloader                                  |        - |
| com.rwtema.extrautils2.tile.TileCrafter                                                                        | xu2:tilecrafter                                      |      yes |
| com.rwtema.extrautils2.tile.TileCreativeChest                                                                  | xu2:tilecreativechest                                |        - |
| com.rwtema.extrautils2.tile.TileCreativeEnergy                                                                 | xu2:tilecreativeenergy                               |      yes |
| com.rwtema.extrautils2.tile.TileCreativeHarvest                                                                | xu2:tilecreativeharvest                              |        - |
| com.rwtema.extrautils2.tile.TileDrum$Tank16                                                                    | xu2:tank16                                           |        - |
| com.rwtema.extrautils2.tile.TileDrum$Tank256                                                                   | xu2:tank256                                          |        - |
| com.rwtema.extrautils2.tile.TileDrum$Tank4096                                                                  | xu2:tank4096                                         |        - |
| com.rwtema.extrautils2.tile.TileDrum$Tank65536                                                                 | xu2:tank65536                                        |        - |
| com.rwtema.extrautils2.tile.TileDrum$TankInf                                                                   | xu2:tankinf                                          |        - |
| com.rwtema.extrautils2.tile.TileInteractionProxy                                                               | xu2:tileinteractionproxy                             |      yes |
| com.rwtema.extrautils2.tile.TileLargishChest                                                                   | xu2:tilelargishchest                                 |        - |
| com.rwtema.extrautils2.tile.TileMinChest                                                                       | xu2:tileminchest                                     |        - |
| com.rwtema.extrautils2.tile.TileMine                                                                           | xu2:tilemine                                         |      yes |
| com.rwtema.extrautils2.tile.TilePassiveGenerator                                                               | xu2:tilepassivegenerator                             |        - |
| com.rwtema.extrautils2.tile.TilePlayerChest                                                                    | xu2:tileplayerchest                                  |        - |
| com.rwtema.extrautils2.tile.TilePowerHandCrank                                                                 | xu2:tilepowerhandcrank                               |      yes |
| com.rwtema.extrautils2.tile.TilePowerOverload                                                                  | xu2:tilepoweroverload                                |      yes |
| com.rwtema.extrautils2.tile.TileRainbowGenerator                                                               | xu2:tilerainbowgenerator                             |      yes |
| com.rwtema.extrautils2.tile.TileResonator                                                                      | xu2:tileresonator                                    |      yes |
| com.rwtema.extrautils2.tile.TileScanner                                                                        | xu2:tilescanner                                      |      yes |
| com.rwtema.extrautils2.tile.TileScreen                                                                         | xu2:tilescreen                                       |        - |
| com.rwtema.extrautils2.tile.TileSoundMuffler                                                                   | xu2:tilesoundmuffler                                 |        - |
| com.rwtema.extrautils2.tile.TileSpotlight                                                                      | xu2:tilespotlight                                    |        - |
| com.rwtema.extrautils2.tile.TileSuperMobSpawner                                                                | xu2:tilesupermobspawner                              |      yes |
| com.rwtema.extrautils2.tile.TileTeleporter                                                                     | xu2:tileteleporter                                   |        - |
| com.rwtema.extrautils2.tile.TileTerraformer                                                                    | xu2:tileterraformer                                  |      yes |
| com.rwtema.extrautils2.tile.TileTerraformerClimograph                                                          | xu2:tileterraformerclimograph                        |      yes |
| com.rwtema.extrautils2.tile.TileTrashCan                                                                       | xu2:tiletrashcan                                     |        - |
| com.rwtema.extrautils2.tile.TileTrashCanEnergy                                                                 | xu2:tiletrashcanenergy                               |        - |
| com.rwtema.extrautils2.tile.TileTrashCanFluids                                                                 | xu2:tiletrashcanfluids                               |        - |
| com.rwtema.extrautils2.tile.TileTrashChest                                                                     | xu2:tiletrashchest                                   |        - |
| com.rwtema.extrautils2.tile.TileUse                                                                            | xu2:tileuse                                          |      yes |
| com.rwtema.extrautils2.transfernodes.TileIndexer                                                               | xu2:tileindexer                                      |      yes |
| com.rwtema.extrautils2.transfernodes.TileTransferHolder                                                        | xu2:tiletransferholder                               |      yes |
| de.maxhenkel.gravestone.tileentity.TileEntityGraveStone                                                        | minecraft:tileentitygavestone                        |        - |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityAutoLubricator                                      | immersivepetroleum:autolubricator                    |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityDistillationTower                                   | immersivepetroleum:distillationtower                 |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityDistillationTower$TileEntityDistillationTowerParent | immersivepetroleum:distillationtowerparent           |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityGasGenerator                                        | immersivepetroleum:gasgenerator                      |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityPumpjack                                            | immersivepetroleum:pumpjack                          |      yes |
| flaxbeard.immersivepetroleum.common.blocks.metal.TileEntityPumpjack$TileEntityPumpjackParent                   | immersivepetroleum:pumpjackparent                    |      yes |
| jds.bibliocraft.tileentities.BiblioLightTileEntity                                                             | minecraft:bibliolight                                |        - |
| jds.bibliocraft.tileentities.TileEntityArmorStand                                                              | minecraft:armorstand                                 |        - |
| jds.bibliocraft.tileentities.TileEntityBell                                                                    | minecraft:bell                                       |      yes |
| jds.bibliocraft.tileentities.TileEntityBookcase                                                                | minecraft:bookcase                                   |        - |
| jds.bibliocraft.tileentities.TileEntityCase                                                                    | minecraft:case                                       |        - |
| jds.bibliocraft.tileentities.TileEntityClipboard                                                               | minecraft:clipboard                                  |        - |
| jds.bibliocraft.tileentities.TileEntityClock                                                                   | minecraft:clock                                      |      yes |
| jds.bibliocraft.tileentities.TileEntityCookieJar                                                               | minecraft:cookiejar                                  |      yes |
| jds.bibliocraft.tileentities.TileEntityDesk                                                                    | minecraft:desk                                       |      yes |
| jds.bibliocraft.tileentities.TileEntityDinnerPlate                                                             | minecraft:dinnerplate                                |        - |
| jds.bibliocraft.tileentities.TileEntityDiscRack                                                                | minecraft:discrack                                   |        - |
| jds.bibliocraft.tileentities.TileEntityFancySign                                                               | minecraft:fancysign                                  |        - |
| jds.bibliocraft.tileentities.TileEntityFancyWorkbench                                                          | minecraft:fancyworkbench                             |        - |
| jds.bibliocraft.tileentities.TileEntityFramedChest                                                             | minecraft:framedchest                                |      yes |
| jds.bibliocraft.tileentities.TileEntityFurniturePaneler                                                        | minecraft:furniturepaneler                           |        - |
| jds.bibliocraft.tileentities.TileEntityLabel                                                                   | minecraft:label                                      |        - |
| jds.bibliocraft.tileentities.TileEntityMapFrame                                                                | minecraft:mapframe                                   |      yes |
| jds.bibliocraft.tileentities.TileEntityMarkerPole                                                              | minecraft:markerpole                                 |        - |
| jds.bibliocraft.tileentities.TileEntityPaintPress                                                              | minecraft:paintingpress                              |      yes |
| jds.bibliocraft.tileentities.TileEntityPaintingBorderless                                                      | minecraft:paintingframeborderless                    |        - |
| jds.bibliocraft.tileentities.TileEntityPaintingFancy                                                           | minecraft:paintingframefancy                         |        - |
| jds.bibliocraft.tileentities.TileEntityPaintingFlat                                                            | minecraft:paintingframeflat                          |        - |
| jds.bibliocraft.tileentities.TileEntityPaintingMiddle                                                          | minecraft:paintingframemiddle                        |        - |
| jds.bibliocraft.tileentities.TileEntityPaintingSimple                                                          | minecraft:paintingframesimple                        |        - |
| jds.bibliocraft.tileentities.TileEntityPotionShelf                                                             | minecraft:potionshelf                                |        - |
| jds.bibliocraft.tileentities.TileEntityPrintPress                                                              | minecraft:printingpress                              |      yes |
| jds.bibliocraft.tileentities.TileEntitySeat                                                                    | minecraft:seat                                       |      yes |
| jds.bibliocraft.tileentities.TileEntityShelf                                                                   | minecraft:shelf                                      |        - |
| jds.bibliocraft.tileentities.TileEntitySwordPedestal                                                           | minecraft:swordpedestal                              |        - |
| jds.bibliocraft.tileentities.TileEntityTable                                                                   | minecraft:table                                      |      yes |
| jds.bibliocraft.tileentities.TileEntityToolRack                                                                | minecraft:toolrack                                   |        - |
| jds.bibliocraft.tileentities.TileEntityTypeMachine                                                             | minecraft:typesettingtable                           |      yes |
| jds.bibliocraft.tileentities.TileEntityTypewriter                                                              | minecraft:typewriter                                 |      yes |
| mod.chiselsandbits.bittank.TileEntityBitTank                                                                   | minecraft:mod.chiselsandbits.tileentitybittank       |        - |
| mod.chiselsandbits.chiseledblock.TileEntityBlockChiseled                                                       | minecraft:mod.chiselsandbits.tileentitychiseled      |        - |
| mod.chiselsandbits.chiseledblock.TileEntityBlockChiseledTESR                                                   | minecraft:mod.chiselsandbits.tileentitychiseled.tesr |        - |
| net.blay09.mods.cookingforblockheads.tile.TileCabinet                                                          | cookingforblockheads:cabinet                         |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCookingTable                                                     | cookingforblockheads:cooking_table                   |        - |
| net.blay09.mods.cookingforblockheads.tile.TileCorner                                                           | cookingforblockheads:corner                          |        - |
| net.blay09.mods.cookingforblockheads.tile.TileCounter                                                          | cookingforblockheads:counter                         |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCowJar                                                           | cookingforblockheads:cow_jar                         |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCuttingBoard                                                     | cookingforblockheads:cutting_board                   |        - |
| net.blay09.mods.cookingforblockheads.tile.TileFridge                                                           | cookingforblockheads:fridge                          |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileFruitBasket                                                      | cookingforblockheads:fruit_basket                    |        - |
| net.blay09.mods.cookingforblockheads.tile.TileMilkJar                                                          | cookingforblockheads:milk_jar                        |        - |
| net.blay09.mods.cookingforblockheads.tile.TileOven                                                             | cookingforblockheads:oven                            |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileSink                                                             | cookingforblockheads:sink                            |        - |
| net.blay09.mods.cookingforblockheads.tile.TileSpiceRack                                                        | cookingforblockheads:spice_rack                      |        - |
| net.blay09.mods.cookingforblockheads.tile.TileToaster                                                          | cookingforblockheads:toaster                         |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileToolRack                                                         | cookingforblockheads:tool_rack                       |        - |
| net.minecraft.block.BlockJukebox$TileEntityJukebox                                                             | minecraft:jukebox                                    |        - |
| net.minecraft.tileentity.TileEntityBanner                                                                      | minecraft:banner                                     |        - |
| net.minecraft.tileentity.TileEntityBeacon                                                                      | minecraft:beacon                                     |      yes |
| net.minecraft.tileentity.TileEntityBed                                                                         | minecraft:bed                                        |        - |
| net.minecraft.tileentity.TileEntityBrewingStand                                                                | minecraft:brewing_stand                              |      yes |
| net.minecraft.tileentity.TileEntityChest                                                                       | minecraft:chest                                      |      yes |
| net.minecraft.tileentity.TileEntityCommandBlock                                                                | minecraft:command_block                              |        - |
| net.minecraft.tileentity.TileEntityComparator                                                                  | minecraft:comparator                                 |        - |
| net.minecraft.tileentity.TileEntityDaylightDetector                                                            | minecraft:daylight_detector                          |      yes |
| net.minecraft.tileentity.TileEntityDispenser                                                                   | minecraft:dispenser                                  |        - |
| net.minecraft.tileentity.TileEntityDropper                                                                     | minecraft:dropper                                    |        - |
| net.minecraft.tileentity.TileEntityEnchantmentTable                                                            | minecraft:enchanting_table                           |      yes |
| net.minecraft.tileentity.TileEntityEndGateway                                                                  | minecraft:end_gateway                                |      yes |
| net.minecraft.tileentity.TileEntityEndPortal                                                                   | minecraft:end_portal                                 |        - |
| net.minecraft.tileentity.TileEntityEnderChest                                                                  | minecraft:ender_chest                                |      yes |
| net.minecraft.tileentity.TileEntityFlowerPot                                                                   | minecraft:flower_pot                                 |        - |
| net.minecraft.tileentity.TileEntityFurnace                                                                     | minecraft:furnace                                    |      yes |
| net.minecraft.tileentity.TileEntityHopper                                                                      | minecraft:hopper                                     |      yes |
| net.minecraft.tileentity.TileEntityMobSpawner                                                                  | minecraft:mob_spawner                                |      yes |
| net.minecraft.tileentity.TileEntityNote                                                                        | minecraft:noteblock                                  |        - |
| net.minecraft.tileentity.TileEntityPiston                                                                      | minecraft:piston                                     |      yes |
| net.minecraft.tileentity.TileEntityShulkerBox                                                                  | minecraft:shulker_box                                |      yes |
| net.minecraft.tileentity.TileEntitySign                                                                        | minecraft:sign                                       |        - |
| net.minecraft.tileentity.TileEntitySkull                                                                       | minecraft:skull                                      |      yes |
| net.minecraft.tileentity.TileEntityStructure                                                                   | minecraft:structure_block                            |        - |
| pokefenn.totemic.tileentity.TileDecoPillar                                                                     | totemic:wooden_pillar                                |        - |
| pokefenn.totemic.tileentity.TileTipi                                                                           | totemic:tipi                                         |        - |
| pokefenn.totemic.tileentity.music.TileDrum                                                                     | totemic:drum                                         |      yes |
| pokefenn.totemic.tileentity.music.TileWindChime                                                                | totemic:wind_chime                                   |      yes |
| pokefenn.totemic.tileentity.totem.TileTotemBase                                                                | totemic:totem_base                                   |      yes |
| pokefenn.totemic.tileentity.totem.TileTotemPole                                                                | totemic:totem_pole                                   |        - |
| rustic.common.tileentity.TileEntityApiary                                                                      | rustic:tileentityapiary                              |      yes |
| rustic.common.tileentity.TileEntityBarrel                                                                      | rustic:tileentitybarrel                              |        - |
| rustic.common.tileentity.TileEntityBrewingBarrel                                                               | rustic:tileentitybrewingbarrel                       |      yes |
| rustic.common.tileentity.TileEntityCabinet                                                                     | rustic:tileentitycabinet                             |      yes |
| rustic.common.tileentity.TileEntityCondenser                                                                   | rustic:tileentitycondenser                           |      yes |
| rustic.common.tileentity.TileEntityCondenserAdvanced                                                           | rustic:tileentitycondenseradvanced                   |      yes |
| rustic.common.tileentity.TileEntityCrushingTub                                                                 | rustic:tileentitycrushingtub                         |        - |
| rustic.common.tileentity.TileEntityEvaporatingBasin                                                            | rustic:tileentityevaporatingbasin                    |      yes |
| rustic.common.tileentity.TileEntityLiquidBarrel                                                                | rustic:tileentityliquidbarrel                        |        - |
| rustic.common.tileentity.TileEntityVase                                                                        | rustic:tileentityvase                                |        - |
| team.chisel.common.block.TileAutoChisel                                                                        | chisel:auto_chisel                                   |      yes |
| thaumcraft.common.tiles.crafting.TileArcaneWorkbench                                                           | thaumcraft:tilearcaneworkbench                       |        - |
| thaumcraft.common.tiles.crafting.TileCrucible                                                                  | thaumcraft:tilecrucible                              |      yes |
| thaumcraft.common.tiles.crafting.TileFocalManipulator                                                          | thaumcraft:tilefocalmanipulator                      |      yes |
| thaumcraft.common.tiles.crafting.TileGolemBuilder                                                              | thaumcraft:tilegolembuilder                          |      yes |
| thaumcraft.common.tiles.crafting.TileInfusionMatrix                                                            | thaumcraft:tileinfusionmatrix                        |      yes |
| thaumcraft.common.tiles.crafting.TilePatternCrafter                                                            | thaumcraft:tilepatterncrafter                        |      yes |
| thaumcraft.common.tiles.crafting.TilePedestal                                                                  | thaumcraft:tilepedestal                              |      yes |
| thaumcraft.common.tiles.crafting.TileResearchTable                                                             | thaumcraft:tileresearchtable                         |      yes |
| thaumcraft.common.tiles.crafting.TileThaumatorium                                                              | thaumcraft:tilethaumatorium                          |      yes |
| thaumcraft.common.tiles.crafting.TileThaumatoriumTop                                                           | thaumcraft:tilethaumatoriumtop                       |      yes |
| thaumcraft.common.tiles.crafting.TileVoidSiphon                                                                | thaumcraft:tilevoidsiphon                            |      yes |
| thaumcraft.common.tiles.devices.TileArcaneEar                                                                  | thaumcraft:tilearcaneear                             |      yes |
| thaumcraft.common.tiles.devices.TileBellows                                                                    | thaumcraft:tilebellows                               |      yes |
| thaumcraft.common.tiles.devices.TileCondenser                                                                  | thaumcraft:tilecondenser                             |      yes |
| thaumcraft.common.tiles.devices.TileDioptra                                                                    | thaumcraft:tiledioptra                               |      yes |
| thaumcraft.common.tiles.devices.TileHungryChest                                                                | thaumcraft:tilechesthungry                           |      yes |
| thaumcraft.common.tiles.devices.TileInfernalFurnace                                                            | thaumcraft:tileinfernalfurnace                       |      yes |
| thaumcraft.common.tiles.devices.TileJarBrain                                                                   | thaumcraft:tilejarbrain                              |      yes |
