+--------------------+---------+-------------+-----------+------------+----------+-----------+--------------------------------------+
| Name               | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                |
| oliveoil           |     920 |         300 |      2000 |          0 | COMMON   |     false | rustic:olive_oil                     |
| petrotheum         |    4000 |         350 |      1500 |          0 | RARE     |     false | thermalfoundation:fluid_petrotheum   |
| plantoil           |     925 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidplantoil   |
| potion             |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                    |
| potion_lingering   |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                    |
| potion_splash      |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                    |
| purifying_fluid    |    1000 |         300 |      1000 |          5 | RARE     |     false | thaumcraft:purifying_fluid           |
| pyrotheum          |    2000 |        4000 |      1200 |         15 | RARE     |     false | thermalfoundation:fluid_pyrotheum    |
| redstone           |    1200 |         300 |      1500 |          7 | UNCOMMON |     false | thermalfoundation:fluid_redstone     |
| refined_biofuel    |     750 |         300 |       800 |          0 | COMMON   |     false | -                                    |
| refined_fuel       |     750 |         300 |       800 |          0 | COMMON   |     false | -                                    |
| refined_oil        |     800 |         300 |      1400 |          0 | COMMON   |     false | -                                    |
| resin              |     900 |         300 |      3000 |          0 | COMMON   |     false | -                                    |
| sap                |    1050 |         300 |      1500 |          0 | COMMON   |     false | -                                    |
| seed_oil           |     950 |         300 |      1300 |          0 | COMMON   |     false | -                                    |
| shimmerdew_spirits |    1004 |         300 |      1016 |          0 | COMMON   |     false | rusticthaumaturgy:shimmerdew_spirits |
| shimmerdew_wort    |    1004 |         300 |      2000 |          0 | COMMON   |     false | rusticthaumaturgy:shimmerdew_wort    |
| steam              |   -1000 |         750 |       200 |          0 | COMMON   |      true | -                                    |
| syrup              |    1400 |         300 |      2500 |          0 | COMMON   |     false | -                                    |
| tree_oil           |     900 |         300 |      1200 |          0 | COMMON   |     false | -                                    |
| viscous_brew       |    1004 |         300 |      1016 |          0 | COMMON   |     false | rusticthaumaturgy:viscous_brew       |
| viscous_wort       |    1004 |         300 |      2000 |          0 | COMMON   |     false | rusticthaumaturgy:viscous_wort       |
| water              |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                      |
| wildberryjuice     |    1070 |         300 |      1100 |          0 | COMMON   |     false | rustic:wildberry_juice               |
| wildberrywine      |    1034 |         300 |      1500 |          0 | COMMON   |     false | -                                    |
| wine               |    1034 |         300 |      1500 |          0 | COMMON   |     false | -                                    |
+--------------------+---------+-------------+-----------+------------+----------+-----------+--------------------------------------+
| Name               | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                |
+--------------------+---------+-------------+-----------+------------+----------+-----------+--------------------------------------+
