+-----------------------+-------------------------------------------+------------------------------+-----+
| Mod name              | Registry name                             | Entity class name            |  ID |
| Minecraft             | minecraft:skeleton_horse                  | EntitySkeletonHorse          |  28 |
| Minecraft             | minecraft:slime                           | EntitySlime                  |  55 |
| Minecraft             | minecraft:small_fireball                  | EntitySmallFireball          |  13 |
| Minecraft             | minecraft:snowball                        | EntitySnowball               |  11 |
| Minecraft             | minecraft:snowman                         | EntitySnowman                |  97 |
| Minecraft             | minecraft:spawner_minecart                | EntityMinecartMobSpawner     |  47 |
| Minecraft             | minecraft:spectral_arrow                  | EntitySpectralArrow          |  24 |
| Minecraft             | minecraft:spider                          | EntitySpider                 |  52 |
| Minecraft             | minecraft:squid                           | EntitySquid                  |  94 |
| Minecraft             | minecraft:stray                           | EntityStray                  |   6 |
| Minecraft             | minecraft:tnt                             | EntityTNTPrimed              |  20 |
| Minecraft             | minecraft:tnt_minecart                    | EntityMinecartTNT            |  45 |
| Minecraft             | minecraft:vex                             | EntityVex                    |  35 |
| Minecraft             | minecraft:villager                        | EntityVillager               | 120 |
| Minecraft             | minecraft:villager_golem                  | EntityIronGolem              |  99 |
| Minecraft             | minecraft:vindication_illager             | EntityVindicator             |  36 |
| Minecraft             | minecraft:witch                           | EntityWitch                  |  66 |
| Minecraft             | minecraft:wither                          | EntityWither                 |  64 |
| Minecraft             | minecraft:wither_skeleton                 | EntityWitherSkeleton         |   5 |
| Minecraft             | minecraft:wither_skull                    | EntityWitherSkull            |  19 |
| Minecraft             | minecraft:wolf                            | EntityWolf                   |  95 |
| Minecraft             | minecraft:xp_bottle                       | EntityExpBottle              |  17 |
| Minecraft             | minecraft:xp_orb                          | EntityXPOrb                  |   2 |
| Minecraft             | minecraft:zombie                          | EntityZombie                 |  54 |
| Minecraft             | minecraft:zombie_horse                    | EntityZombieHorse            |  29 |
| Minecraft             | minecraft:zombie_pigman                   | EntityPigZombie              |  57 |
| Minecraft             | minecraft:zombie_villager                 | EntityZombieVillager         |  27 |
| Rustic                | rustic:tomato                             | EntityTomato                 |   0 |
| Thaumcraft            | thaumcraft:alumentum                      | EntityAlumentum              |   6 |
| Thaumcraft            | thaumcraft:arcanebore                     | EntityArcaneBore             |  18 |
| Thaumcraft            | thaumcraft:bottletaint                    | EntityBottleTaint            |   9 |
| Thaumcraft            | thaumcraft:brainyzombie                   | EntityBrainyZombie           |  24 |
| Thaumcraft            | thaumcraft:causalitycollapser             | EntityCausalityCollapser     |  12 |
| Thaumcraft            | thaumcraft:cultistcleric                  | EntityCultistCleric          |  33 |
| Thaumcraft            | thaumcraft:cultistknight                  | EntityCultistKnight          |  32 |
| Thaumcraft            | thaumcraft:cultistleader                  | EntityCultistLeader          |  22 |
| Thaumcraft            | thaumcraft:cultistportalgreater           | EntityCultistPortalGreater   |   0 |
| Thaumcraft            | thaumcraft:cultistportallesser            | EntityCultistPortalLesser    |   1 |
| Thaumcraft            | thaumcraft:eldritchcrab                   | EntityEldritchCrab           |  34 |
| Thaumcraft            | thaumcraft:eldritchgolem                  | EntityEldritchGolem          |  21 |
| Thaumcraft            | thaumcraft:eldritchguardian               | EntityEldritchGuardian       |  31 |
| Thaumcraft            | thaumcraft:eldritchorb                    | EntityEldritchOrb            |   8 |
| Thaumcraft            | thaumcraft:eldritchwarden                 | EntityEldritchWarden         |  20 |
| Thaumcraft            | thaumcraft:fallingtaint                   | EntityFallingTaint           |   5 |
| Thaumcraft            | thaumcraft:firebat                        | EntityFireBat                |  27 |
| Thaumcraft            | thaumcraft:fluxrift                       | EntityFluxRift               |   2 |
| Thaumcraft            | thaumcraft:focuscloud                     | EntityFocusCloud             |  14 |
| Thaumcraft            | thaumcraft:focusmine                      | EntityFocusMine              |  15 |
| Thaumcraft            | thaumcraft:focusprojectile                | EntityFocusProjectile        |  13 |
| Thaumcraft            | thaumcraft:followitem                     | EntityFollowingItem          |   4 |
| Thaumcraft            | thaumcraft:giantbrainyzombie              | EntityGiantBrainyZombie      |  25 |
| Thaumcraft            | thaumcraft:golem                          | EntityThaumcraftGolem        |  19 |
| Thaumcraft            | thaumcraft:golemdart                      | EntityGolemDart              |   7 |
| Thaumcraft            | thaumcraft:golemorb                       | EntityGolemOrb               |  10 |
| Thaumcraft            | thaumcraft:grapple                        | EntityGrapple                |  11 |
| Thaumcraft            | thaumcraft:inhabitedzombie                | EntityInhabitedZombie        |  35 |
| Thaumcraft            | thaumcraft:mindspider                     | EntityMindSpider             |  30 |
| Thaumcraft            | thaumcraft:pech                           | EntityPech                   |  29 |
| Thaumcraft            | thaumcraft:specialitem                    | EntitySpecialItem            |   3 |
| Thaumcraft            | thaumcraft:spellbat                       | EntitySpellBat               |  28 |
| Thaumcraft            | thaumcraft:taintacle                      | EntityTaintacle              |  38 |
| Thaumcraft            | thaumcraft:taintaclegiant                 | EntityTaintacleGiant         |  23 |
| Thaumcraft            | thaumcraft:taintacletiny                  | EntityTaintacleSmall         |  39 |
| Thaumcraft            | thaumcraft:taintcrawler                   | EntityTaintCrawler           |  37 |
| Thaumcraft            | thaumcraft:taintseed                      | EntityTaintSeed              |  41 |
| Thaumcraft            | thaumcraft:taintseedprime                 | EntityTaintSeedPrime         |  42 |
| Thaumcraft            | thaumcraft:taintswarm                     | EntityTaintSwarm             |  40 |
| Thaumcraft            | thaumcraft:thaumslime                     | EntityThaumicSlime           |  36 |
| Thaumcraft            | thaumcraft:turretadvanced                 | EntityTurretCrossbowAdvanced |  17 |
| Thaumcraft            | thaumcraft:turretbasic                    | EntityTurretCrossbow         |  16 |
| Thaumcraft            | thaumcraft:wisp                           | EntityWisp                   |  26 |
| Thermal Foundation    | thermalfoundation:basalz                  | EntityBasalz                 |   2 |
| Thermal Foundation    | thermalfoundation:basalz_bolt             | EntityBasalzBolt             |   5 |
| Thermal Foundation    | thermalfoundation:blitz                   | EntityBlitz                  |   1 |
| Thermal Foundation    | thermalfoundation:blitz_bolt              | EntityBlitzBolt              |   4 |
| Thermal Foundation    | thermalfoundation:blizz                   | EntityBlizz                  |   0 |
| Thermal Foundation    | thermalfoundation:blizz_bolt              | EntityBlizzBolt              |   3 |
| Totemic               | totemic:bald_eagle                        | EntityBaldEagle              |   3 |
| Totemic               | totemic:baykok                            | EntityBaykok                 |   1 |
| Totemic               | totemic:buffalo                           | EntityBuffalo                |   0 |
| Totemic               | totemic:invis_arrow                       | EntityInvisArrow             |   2 |
+-----------------------+-------------------------------------------+------------------------------+-----+
| Mod name              | Registry name                             | Entity class name            |  ID |
+-----------------------+-------------------------------------------+------------------------------+-----+
